American League Baseball Salaries (2003),,,
,,,
Team,Player,Salary,Position
Seattle Mariners,"McLemore, Mark","31,50,000",Second Baseman
Seattle Mariners,"Meche, Gil","3,25,000",Pitcher
Seattle Mariners,"Moyer, Jamie","65,00,000",Pitcher
Seattle Mariners,"Nelson, Jeff","39,83,333",Pitcher
Seattle Mariners,"Olerud, John","77,00,000",First Baseman
Seattle Mariners,"Pineiro, Joel","4,40,000",Pitcher
Seattle Mariners,"Rhodes, Arthur","35,00,000",Pitcher
Seattle Mariners,"Sasaki, Kazuhiro","80,00,000",Pitcher
Seattle Mariners,"Snelling, Chris","3,00,000",Outfielder
Seattle Mariners,"Suzuki, Ichiro","46,66,667",Outfielder
Seattle Mariners,"Wilson, Dan","35,00,000",Catcher
Seattle Mariners,"Winn, Randy","33,00,000",Outfielder
Oakland Athletics,"Bowie, Micah","3,04,000",Pitcher
Oakland Athletics,"Bradford, Chad","3,31,000",Pitcher
Oakland Athletics,"Byrnes, Eric","3,00,000",Outfielder
Oakland Athletics,"Chavez, Eric","36,75,000",Third Baseman
Oakland Athletics,"Durazo, Erubiel","10,65,000",First Baseman
Oakland Athletics,"Dye, Jermaine","1,16,66,667",Outfielder
Oakland Athletics,"Ellis, Mark","3,07,500",Shortstop
Oakland Athletics,"Fikac, Jeremy","3,16,000",Pitcher
Oakland Athletics,"Foulke, Keith","60,00,000",Pitcher
Oakland Athletics,"Gant, Ron","3,50,000",Outfielder
Oakland Athletics,"Halama, John","7,50,000",Pitcher
Oakland Athletics,"Hatteberg, Scott","17,50,000",Catcher
Oakland Athletics,"Hernandez, Ramon","18,87,500",Catcher
Oakland Athletics,"Hudson, Tim","27,00,000",Pitcher
Oakland Athletics,"Johnson, Mark L","5,00,000",Catcher
Oakland Athletics,"Lilly, Ted","3,35,000",Pitcher
Oakland Athletics,"Long, Terrence","21,75,000",Outfielder
Oakland Athletics,"Mecir, Jim","32,16,667",Pitcher
Oakland Athletics,"Menechino, Frank","3,34,500",Second Baseman
Oakland Athletics,"Mulder, Mark","26,50,000",Pitcher
Oakland Athletics,"Neu, Mike","3,00,000",Pitcher
Oakland Athletics,"Piatt, Adam","3,22,000",Third Baseman
Oakland Athletics,"Rincon, Ricardo","17,00,000",Pitcher
Oakland Athletics,"Singleton, Chris","12,00,000",Outfielder
Oakland Athletics,"Tejada, Miguel","51,25,000",Shortstop
Oakland Athletics,"Zito, Barry","10,00,000",Pitcher
Texas Rangers,"Blalock, Hank","3,02,500",Third Baseman
Texas Rangers,"Clark, Jermaine","3,00,000",Second Baseman
Texas Rangers,"Cordero, Francisco","9,00,000",Pitcher
Texas Rangers,"Diaz, Einar","18,37,500",Catcher
Texas Rangers,"Everett, Carl","91,50,000",Outfielder
Texas Rangers,"Fultz, Aaron","6,00,000",Pitcher
Texas Rangers,"Garcia, Reynaldo","3,00,000",Pitcher
Texas Rangers,"Glanville, Doug","10,00,000",Outfielder
Texas Rangers,"Gonzalez, Juan","1,30,00,000",Outfielder
Texas Rangers,"Greene, Todd","7,50,000",Catcher
Texas Rangers,"Greer, Rusty","70,00,000",Outfielder
Texas Rangers,"Kreuter, Chad","7,50,000",Catcher
Texas Rangers,"Lamb, Mike","4,40,000",Third Baseman
Texas Rangers,"Lewis, Colby","3,02,500",Pitcher
Texas Rangers,"Mench, Kevin","3,27,500",Outfielder
Texas Rangers,"Nitkowski, CJ","5,50,000",Pitcher
Texas Rangers,"Palmeiro, Rafael","90,00,000",First Baseman
Texas Rangers,"Park, Chan Ho","1,30,00,000",Pitcher
Texas Rangers,"Perry, Herbert","13,00,000",Third Baseman
Texas Rangers,"Powell, Jay","32,50,000",Pitcher
Texas Rangers,"Rodriguez, Alex","2,20,00,000",Shortstop
Texas Rangers,"Sierra, Ruben","6,00,000",Outfielder
Texas Rangers,"Teixeira, Mark","7,50,000",Third Baseman
Texas Rangers,"Thomson, John","13,00,000",Pitcher
Texas Rangers,"Urbina, Ugueth","45,00,000",Pitcher
Texas Rangers,"Valdes, Ismael","25,00,000",Pitcher
Texas Rangers,"Van Poppel, Todd","25,00,000",Pitcher
Texas Rangers,"Yan, Esteban","15,00,000",Pitcher
Texas Rangers,"Young, Mike B","4,15,000",Shortstop
Texas Rangers,"Zimmerman, Jeff","33,66,667",Pitcher
,,,
Source:  USA Today,,,
